session_id,customer_id,session_date,duration_minutes,pages_viewed,device,traffic_source,converted
39,4672,2025-06-23,21.4,5,desktop,direct,0
40,3634,2024-09-30,24.0,5,mobile,organic,0
41,466,2025-03-09,14.2,1,mobile,direct,0
42,42,2026-01-03,9.7,8,desktop,organic,0
43,2730,2025-05-23,28.4,7,mobile,social,0
44,807,2024-08-24,8.7,4,mobile,organic,0
45,2729,2025-02-07,2.0,6,desktop,organic,0
46,4823,2025-01-20,7.3,8,desktop,paid,1
47,1544,2025-01-17,2.0,6,mobile,direct,1
48,3354,2025-05-02,17.3,5,mobile,social,1
49,4633,2026-03-28,75.5,7,mobile,organic,0
50,1954,2024-10-16,7.6,5,desktop,social,0
51,2997,2025-04-04,36.9,10,mobile,paid,0
52,1080,2025-01-12,18.8,3,mobile,social,1
53,4344,2025-10-10,17.7,6,mobile,paid,0
54,4649,2025-07-07,1.5,8,desktop,organic,0
55,971,2025-07-31,4.3,4,mobile,social,0
56,3095,2026-05-24,5.4,4,desktop,organic,0
57,3752,2024-08-11,8.7,6,desktop,social,0
58,4917,2024-08-22,17.5,2,mobile,social,0
59,362,2024-08-01,3.3,3,mobile,social,1
60,3588,2024-07-21,19.0,10,mobile,direct,0
61,1686,2024-11-08,8.3,2,tablet,email,0
62,2084,2025-10-14,26.6,9,mobile,organic,0
63,3025,2025-07-15,8.8,6,mobile,organic,0
64,3502,2026-01-12,7.8,5,tablet,organic,0
65,3594,2026-04-29,6.6,2,desktop,email,0
66,762,2026-01-21,2.5,4,mobile,paid,0
67,2776,2025-12-31,22.0,7,mobile,social,1
68,3720,2026-07-27,12.7,7,desktop,paid,1
69,4389,2026-03-30,4.5,7,mobile,email,0
70,3177,2024-08-07,3.9,4,mobile,organic,1
71,2262,2025-01-23,14.2,4,mobile,email,0
72,662,2024-12-29,1.8,4,desktop,organic,0
73,338,2024-11-14,14.1,5,mobile,direct,1
74,3712,2024-12-08,19.3,6,tablet,social,1
75,3359,2024-06-15,21.4,5,mobile,direct,1
76,2509,2025-05-25,6.4,4,mobile,organic,0
77,1714,2025-02-24,5.4,6,mobile,paid,0
78,1181,2025-12-25,3.9,2,mobile,direct,0
79,3250,2024-06-05,8.1,10,mobile,paid,0
80,1681,2026-01-15,1.2,3,desktop,social,0
81,3891,2024-08-09,13.0,3,desktop,organic,0
82,4462,2025-04-12,33.6,2,desktop,organic,0
83,894,2026-05-27,15.5,4,tablet,organic,1
84,1568,2025-03-27,19.2,9,desktop,paid,0
85,2198,2026-05-21,1.0,5,mobile,direct,1
86,2284,2025-07-17,14.3,8,desktop,organic,0
87,2331,2026-01-08,11.6,6,mobile,social,0
88,3312,2025-05-07,1.2,9,mobile,social,1
89,2105,2026-02-15,8.0,5,desktop,paid,0
90,1380,2025-12-10,2.8,3,mobile,social,0
91,4246,2025-06-24,6.4,5,mobile,organic,0
92,494,2026-04-26,12.8,5,desktop,direct,0
93,2294,2026-01-25,4.6,6,tablet,email,0
94,3018,2025-03-29,37.2,5,desktop,direct,0
95,3887,2024-12-21,3.8,5,mobile,direct,0
96,3736,2026-01-23,4.1,5,mobile,paid,0
97,1323,2026-01-18,39.7,7,desktop,paid,0
98,1769,2025-10-31,9.5,6,desktop,organic,0
99,3648,2024-10-01,1.9,6,mobile,organic,0
100,4207,2025-09-28,13.7,5,desktop,social,1
101,111,2025-03-14,8.5,4,desktop,direct,0
102,678,2026-07-04,2.4,5,mobile,direct,0
103,3459,2025-05-05,24.2,4,mobile,organic,0
104,1109,2025-06-03,13.0,3,mobile,direct,0
105,440,2025-05-07,9.6,5,mobile,social,0
106,2010,2026-01-23,9.8,6,mobile,social,0
107,4155,2025-08-11,5.1,5,mobile,direct,1
108,840,2026-06-19,1.1,7,desktop,organic,0
109,785,2024-11-30,7.4,6,desktop,email,0
110,2525,2026-02-10,14.3,10,mobile,paid,0
111,1768,2026-04-18,31.1,4,desktop,organic,0
112,2629,2026-06-18,7.1,8,mobile,organic,0
113,1906,2024-12-14,8.2,6,desktop,social,1
114,548,2024-11-20,2.3,2,mobile,direct,0
115,1679,2026-08-01,1.5,5,desktop,email,0
116,4609,2026-06-27,20.2,6,mobile,paid,0
117,4308,2024-09-19,10.0,4,mobile,direct,0
118,3116,2024-09-21,5.8,5,mobile,social,0
119,3519,2024-09-21,10.7,4,desktop,organic,0
120,3840,2026-07-20,8.2,8,mobile,email,0
121,536,2025-04-23,37.2,7,desktop,organic,0
122,4035,2025-06-30,85.9,10,mobile,paid,0
123,2463,2025-09-27,3.6,7,mobile,social,0
124,778,2026-07-17,4.3,9,desktop,social,0
125,1061,2026-04-28,27.2,11,desktop,social,1
126,4040,2025-03-18,3.8,7,tablet,organic,0
127,2825,2024-08-27,1.3,8,desktop,paid,1
128,3606,2025-03-03,7.8,7,desktop,paid,0
129,439,2026-02-13,68.5,6,desktop,direct,0
130,1279,2024-10-29,9.3,5,tablet,direct,0
131,4313,2026-01-04,5.5,4,tablet,paid,0
132,4032,2024-11-12,6.8,8,mobile,paid,0
133,850,2025-09-22,26.6,4,mobile,direct,0
134,4166,2024-08-14,15.5,9,mobile,paid,0
135,4851,2024-11-04,33.2,5,desktop,paid,0
136,2843,2025-12-15,7.8,2,mobile,direct,0
137,4018,2024-08-02,22.2,5,desktop,social,0
138,2454,2024-08-10,1.9,10,desktop,social,0
139,267,2025-04-20,1.5,8,mobile,organic,0
140,3139,2024-09-09,7.6,2,mobile,paid,0
141,61,2025-10-22,21.1,8,desktop,email,0
142,1235,2025-09-25,9.1,6,desktop,email,1
143,3882,2025-04-24,21.5,7,mobile,email,0
144,3870,2024-09-18,12.4,6,mobile,organic,0
145,2452,2026-05-04,26.3,5,mobile,direct,0
146,4364,2024-09-02,1.3,4,desktop,organic,0
147,4232,2024-09-01,8.6,5,mobile,email,0
148,1559,2024-07-10,3.0,7,desktop,paid,0
149,1857,2024-11-24,35.3,6,desktop,email,1
150,1839,2025-08-03,1.2,2,mobile,paid,0
151,355,2026-07-06,6.9,5,mobile,organic,0
152,4875,2024-09-21,13.6,9,mobile,social,0
153,446,2026-07-08,1.8,12,mobile,direct,0
154,3582,2025-08-01,1.5,7,mobile,direct,0
155,3302,2024-11-15,22.8,3,mobile,organic,0
156,88,2024-06-22,12.5,10,mobile,direct,0
157,3713,2025-10-07,12.2,7,desktop,direct,0
158,3987,2026-03-17,67.9,2,tablet,email,1
159,2398,2025-06-29,17.2,8,mobile,organic,0
160,1022,2026-04-08,34.6,6,desktop,paid,0
161,1946,2024-12-11,9.2,7,mobile,paid,0
162,1087,2026-04-06,15.2,5,mobile,organic,0
163,712,2025-01-30,36.9,6,tablet,direct,1
164,392,2025-03-18,50.5,8,tablet,social,0
165,592,2026-02-20,2.5,8,mobile,social,0
166,9,2025-03-25,2.2,6,mobile,organic,0
167,544,2024-06-27,1.4,5,mobile,organic,0
168,1029,2026-05-18,70.5,7,mobile,organic,0
169,2709,2025-09-23,4.6,8,desktop,email,0
170,4656,2025-12-04,22.0,5,desktop,paid,1
171,2866,2025-07-02,6.7,6,mobile,email,0
172,1233,2024-08-02,25.8,5,mobile,direct,0
173,2299,2024-11-26,1.9,5,desktop,social,0
174,1491,2026-05-09,18.7,7,mobile,direct,0
175,3323,2026-07-06,5.3,6,tablet,organic,0
176,223,2026-03-08,2.8,5,desktop,organic,0
177,4149,2024-07-05,9.0,7,mobile,direct,0
178,4102,2024-10-13,12.7,7,desktop,organic,1
179,2135,2025-07-13,1.2,4,mobile,direct,0
180,1577,2026-07-24,3.2,8,desktop,direct,1
181,1148,2024-08-25,12.8,6,tablet,paid,0
182,2180,2024-11-11,19.3,2,desktop,social,0
183,756,2026-06-26,5.5,5,tablet,paid,0
184,4535,2026-05-30,2.4,6,desktop,direct,0
185,878,2025-06-04,31.4,7,mobile,organic,1
186,1765,2026-03-11,2.7,8,mobile,direct,0
187,2122,2024-09-23,59.5,4,mobile,organic,0
188,81,2025-08-11,4.0,5,mobile,organic,0
189,4479,2025-10-10,26.2,6,mobile,organic,0
190,4908,2026-04-07,4.9,7,desktop,paid,1
191,4691,2026-04-26,16.3,10,tablet,paid,0
192,3615,2026-07-20,2.0,6,mobile,email,1
193,863,2025-03-18,19.2,6,desktop,paid,0
194,4683,2025-08-10,6.6,5,mobile,paid,0
195,1888,2025-11-21,3.2,3,mobile,direct,0
196,2551,2025-05-11,5.3,6,mobile,organic,0
197,1576,2024-06-08,11.0,4,mobile,organic,0
198,2583,2024-11-18,7.9,4,mobile,social,0
199,237,2024-07-19,1.4,6,mobile,email,1
200,4482,2024-12-11,32.0,4,desktop,email,0
201,569,2026-01-08,15.3,7,mobile,social,0
202,280,2024-12-29,13.8,6,mobile,organic,0
203,4147,2025-10-29,10.9,1,mobile,organic,1
204,169,2025-07-29,2.1,5,mobile,organic,1
205,2650,2026-02-17,3.8,3,mobile,organic,0
206,197,2024-07-01,14.2,5,mobile,organic,0
207,3747,2026-07-14,2.6,5,mobile,organic,0
208,1151,2026-05-03,1.1,3,mobile,direct,0
209,653,2024-12-29,4.8,6,tablet,email,0
210,3755,2025-11-21,4.6,10,mobile,direct,0
211,2728,2025-07-30,12.5,4,mobile,direct,0
212,2720,2024-12-08,39.7,3,mobile,email,0
213,4339,2025-06-13,7.3,5,mobile,email,0
214,4135,2024-06-25,1.9,4,desktop,organic,0
215,4065,2025-02-05,7.1,8,tablet,direct,0
216,2850,2025-04-17,25.6,8,desktop,email,0
217,1002,2024-07-21,27.8,6,desktop,direct,0
218,3496,2025-07-28,24.9,4,mobile,social,1
219,2840,2026-02-27,4.8,5,mobile,paid,0
220,572,2025-06-11,11.6,7,mobile,paid,0
221,2089,2025-05-14,2.4,4,desktop,direct,1
222,1102,2025-07-26,2.3,8,tablet,paid,0
223,3909,2025-11-20,8.7,6,mobile,paid,0
224,4991,2026-02-22,10.9,7,mobile,organic,0
225,3322,2026-07-10,6.9,10,desktop,direct,1
226,2365,2024-09-06,1.8,3,mobile,direct,1
227,542,2025-08-01,4.1,4,mobile,direct,1
228,4583,2025-09-25,18.4,4,mobile,organic,0
229,211,2025-02-01,7.8,11,mobile,social,0
230,3221,2024-12-12,7.0,4,mobile,email,0
231,3919,2026-01-15,10.1,7,mobile,paid,0
232,2659,2024-06-17,24.5,14,mobile,organic,0
233,3242,2024-09-22,29.9,7,desktop,paid,0
234,4667,2024-07-05,33.2,3,desktop,paid,1
235,1559,2025-01-28,27.0,4,mobile,organic,0
236,4290,2025-12-29,30.3,3,desktop,direct,0
237,4564,2026-03-25,6.0,3,mobile,organic,0
238,2467,2024-12-07,4.6,6,mobile,email,0
239,4992,2024-11-08,2.8,9,tablet,direct,0
240,3764,2025-07-15,10.1,6,desktop,social,0
241,4354,2024-09-14,4.0,6,mobile,direct,0
242,4482,2025-02-10,26.0,7,mobile,direct,0
243,4957,2025-01-04,10.8,7,desktop,organic,0
244,2619,2026-03-19,4.8,7,desktop,social,0
245,1159,2024-10-24,7.9,5,mobile,organic,0
246,1015,2026-05-14,3.1,8,mobile,paid,0
247,2769,2025-09-12,7.7,7,mobile,paid,0
248,3272,2025-11-28,19.5,4,mobile,paid,0
249,4362,2025-04-12,7.4,12,desktop,organic,0
250,3529,2024-06-15,8.0,3,desktop,social,0
251,1636,2025-09-03,8.5,3,desktop,organic,0
252,4450,2025-12-24,4.1,9,mobile,organic,0
253,918,2025-05-08,3.5,8,mobile,direct,1
254,2387,2024-12-30,4.3,9,desktop,direct,0
255,2387,2025-09-29,9.4,7,mobile,social,1
256,2494,2025-10-18,7.2,4,mobile,organic,0
257,597,2025-01-21,3.1,7,mobile,email,0
258,3415,2025-02-28,27.6,4,mobile,organic,0
259,2403,2025-06-12,25.7,7,mobile,direct,0
260,1572,2025-04-23,21.0,8,mobile,paid,0
261,1827,2025-01-30,3.6,5,tablet,organic,0
262,1080,2025-04-19,1.9,8,mobile,organic,0
263,2482,2026-04-23,14.1,3,desktop,organic,1
264,2546,2025-01-02,25.1,7,tablet,paid,0
265,4929,2026-03-30,1.7,6,desktop,social,0
266,3726,2025-05-04,4.0,3,mobile,direct,0
267,2175,2026-05-01,11.2,6,tablet,email,1
268,3489,2025-07-30,1.1,4,desktop,organic,0
269,754,2026-05-05,4.7,2,mobile,email,0
270,2497,2025-01-25,8.3,11,desktop,paid,1
271,1531,2025-06-07,14.3,8,mobile,paid,0
272,3381,2025-06-02,1.7,7,desktop,direct,0
273,4897,2026-04-12,13.4,6,desktop,email,0
274,2341,2024-06-18,20.0,7,mobile,paid,0
275,116,2026-03-30,60.2,3,desktop,organic,0
276,361,2025-11-04,4.0,7,mobile,paid,0
277,4899,2024-09-21,8.5,5,mobile,organic,0
278,206,2024-09-22,3.7,5,desktop,organic,0
279,1007,2024-09-26,16.9,5,desktop,email,0
280,1084,2025-06-28,3.8,6,desktop,email,0
281,1350,2025-03-13,18.2,9,tablet,organic,0
282,2001,2025-03-18,5.0,3,mobile,paid,1
283,2133,2024-12-12,22.0,6,mobile,organic,0
284,2821,2026-06-05,22.7,4,tablet,paid,0
285,169,2026-04-28,21.3,12,desktop,social,1
286,2304,2026-03-22,30.7,3,mobile,social,0
287,2264,2025-06-15,7.4,4,mobile,organic,1
288,4589,2024-12-24,1.2,5,mobile,organic,0
289,2541,2026-04-27,4.5,6,mobile,organic,1
290,469,2025-02-20,1.3,5,desktop,organic,0
291,564,2024-09-03,4.9,6,mobile,email,0
292,2155,2024-11-16,4.0,10,mobile,paid,0
293,4283,2026-03-03,46.2,3,mobile,organic,0
294,1082,2026-02-26,1.9,7,mobile,organic,0
295,219,2026-08-09,21.7,7,mobile,social,0
296,3528,2024-06-14,10.0,8,mobile,organic,0
297,3694,2026-03-23,6.7,4,mobile,direct,0
298,3117,2024-08-23,76.4,6,desktop,paid,0
299,3847,2025-01-27,32.3,6,mobile,organic,1
300,4351,2024-06-05,3.0,6,mobile,email,0
301,4956,2025-06-15,27.1,6,mobile,direct,0
302,4158,2024-11-05,3.2,7,mobile,social,1
303,2696,2025-08-21,46.5,5,mobile,direct,0
304,4087,2026-08-02,20.8,4,tablet,paid,0
305,174,2024-10-24,21.2,3,mobile,social,0
306,4857,2024-07-28,7.0,4,desktop,social,0
307,2422,2026-06-22,2.2,3,desktop,direct,1
308,1605,2025-02-26,48.7,3,mobile,paid,1
309,67,2026-08-02,26.7,3,mobile,organic,0
310,3925,2025-02-24,9.3,4,desktop,paid,1
311,3056,2025-01-25,5.0,4,mobile,organic,0
312,4808,2025-07-28,32.5,7,mobile,organic,0
313,853,2026-03-20,17.6,4,mobile,direct,0
314,3485,2024-11-13,6.0,9,desktop,social,0
315,2116,2025-10-23,13.8,7,desktop,organic,0
316,2153,2025-01-19,24.2,9,mobile,social,1
317,3849,2026-06-10,8.8,9,desktop,organic,0
318,1667,2026-05-10,5.0,11,mobile,direct,1
319,3173,2024-08-20,9.7,5,mobile,paid,0
320,3093,2026-02-03,2.6,9,mobile,direct,0
321,1702,2025-05-07,5.6,6,desktop,organic,0
322,3403,2025-09-01,27.8,3,mobile,direct,0
323,2175,2025-10-28,18.5,5,desktop,social,0
324,780,2025-05-24,8.3,5,mobile,organic,0
325,190,2025-04-26,6.5,8,tablet,direct,1
326,1811,2024-12-24,2.0,6,mobile,organic,1
327,3143,2024-08-17,3.8,7,tablet,paid,0
328,2444,2024-10-29,5.6,6,desktop,direct,0
329,3822,2026-03-13,9.5,8,desktop,social,0
330,3782,2025-09-19,3.5,6,desktop,social,0
331,1788,2025-02-10,5.2,5,desktop,organic,0
332,3948,2025-10-16,7.1,10,desktop,organic,0
333,1192,2026-04-14,42.5,5,mobile,organic,0
334,1137,2026-03-16,1.9,2,mobile,direct,1
335,3694,2025-01-21,5.0,6,mobile,paid,0
336,2433,2024-12-31,9.2,4,mobile,social,0
337,2703,2025-09-17,2.5,7,desktop,organic,0
338,3788,2024-11-26,5.7,2,desktop,paid,0
339,1723,2026-04-07,3.4,8,desktop,social,0
340,698,2025-01-06,5.3,3,tablet,email,0
341,1287,2026-07-04,9.2,6,tablet,direct,0
342,1691,2026-06-03,11.2,5,mobile,paid,1
343,3254,2025-12-24,8.3,3,tablet,social,0
344,4241,2025-11-16,1.8,6,desktop,direct,0
345,379,2025-04-19,17.0,9,mobile,direct,0
346,3229,2025-10-16,4.0,5,desktop,social,0
347,1258,2026-07-21,6.7,2,mobile,direct,0
348,1752,2025-11-19,12.1,8,mobile,direct,0
349,4024,2026-03-26,18.1,7,mobile,social,0
350,1573,2026-02-26,3.9,9,mobile,direct,0
351,4021,2025-02-14,8.6,9,desktop,social,0
352,4480,2024-12-24,7.8,3,mobile,email,0
353,4700,2024-07-20,11.2,2,desktop,social,1
354,3875,2024-09-22,7.3,6,mobile,organic,0
355,3574,2025-01-29,10.2,5,mobile,paid,0
356,2139,2025-10-01,4.1,7,tablet,paid,0
357,3577,2026-03-10,10.8,6,mobile,organic,0
358,1435,2025-06-14,8.1,6,mobile,organic,0
359,361,2025-10-24,22.7,6,mobile,paid,0
360,1771,2025-01-04,36.3,5,desktop,paid,0
361,1513,2025-05-20,14.1,3,desktop,paid,0
362,1209,2026-06-18,4.1,5,desktop,direct,0
363,1431,2024-10-26,4.2,6,mobile,social,0
364,4810,2026-06-20,26.0,5,mobile,organic,0
365,4300,2025-11-06,12.5,6,mobile,organic,0
366,3281,2025-03-27,32.6,5,mobile,social,0
367,4354,2025-07-05,27.9,11,desktop,organic,0
368,687,2024-08-27,37.8,11,tablet,organic,0
369,1280,2025-05-25,35.7,3,desktop,organic,0
370,988,2024-11-08,4.7,8,tablet,direct,1
371,4378,2025-05-23,3.1,6,mobile,email,0
372,309,2026-07-21,7.0,6,mobile,direct,0
373,4195,2025-04-23,20.3,8,tablet,social,0
374,2870,2024-09-15,7.1,10,desktop,email,0
375,2370,2025-10-13,1.8,7,mobile,paid,1
376,832,2025-06-14,6.3,9,mobile,social,0
377,2364,2026-01-03,3.1,4,mobile,social,0
378,4199,2025-10-19,35.7,10,mobile,paid,0
379,4501,2026-04-15,7.5,3,mobile,organic,0
380,4447,2025-04-09,38.8,4,mobile,paid,0
381,3172,2025-09-16,17.8,10,desktop,organic,0
382,2709,2025-01-30,6.2,4,mobile,organic,0
383,3145,2026-03-16,5.5,3,desktop,direct,0
384,3167,2025-07-23,1.6,5,mobile,direct,0
385,1122,2025-11-30,3.8,8,mobile,organic,0
386,4734,2025-01-18,7.7,5,tablet,organic,0
387,1269,2026-05-15,3.9,2,desktop,organic,0
388,1255,2026-02-02,10.9,8,mobile,direct,0
389,3997,2025-05-08,3.8,4,desktop,social,0
390,935,2025-02-10,10.6,3,mobile,social,0
391,3056,2026-02-09,17.5,6,desktop,direct,0
392,3959,2024-07-29,9.6,4,tablet,social,0
393,3153,2025-03-11,8.7,5,desktop,direct,0
394,555,2025-05-04,39.4,5,tablet,paid,0
395,3106,2025-05-12,25.0,8,desktop,organic,0
396,4940,2025-01-23,9.3,5,mobile,organic,0
397,1371,2026-05-28,8.1,6,desktop,social,0
398,1093,2025-11-14,16.0,4,mobile,paid,0
399,840,2026-06-01,6.1,6,mobile,direct,1
400,2944,2024-10-27,17.1,3,desktop,paid,1
401,2314,2025-06-25,16.6,5,mobile,direct,0
402,2241,2025-04-13,25.1,12,mobile,organic,0
403,665,2025-12-05,23.9,5,tablet,social,0
404,609,2025-12-16,10.0,3,mobile,direct,1
405,2441,2025-06-07,2.8,6,desktop,organic,0
406,3625,2024-06-06,14.8,9,desktop,direct,1
407,1053,2026-01-21,12.2,5,mobile,direct,0
408,4610,2025-01-23,27.3,5,desktop,paid,0
409,2601,2025-07-23,1.5,7,desktop,paid,0
410,2017,2025-12-19,9.6,4,mobile,paid,0
411,1011,2024-12-28,16.8,2,mobile,direct,0
412,2229,2025-03-06,6.4,7,mobile,email,0
413,3797,2025-03-11,8.9,7,mobile,organic,0
414,514,2025-05-20,2.2,4,mobile,organic,1
415,3773,2025-11-19,22.3,1,desktop,paid,0
416,4559,2025-08-14,26.1,6,mobile,direct,0
417,1425,2024-11-05,12.7,5,mobile,paid,0
418,980,2026-02-06,2.4,5,mobile,organic,0
419,2340,2026-03-08,13.6,7,desktop,organic,0
420,2389,2026-02-23,17.0,5,mobile,email,0
421,170,2026-04-21,2.4,1,tablet,organic,0
422,1856,2024-06-23,17.1,6,mobile,organic,0
423,3899,2025-10-05,27.6,6,mobile,email,0
424,4816,2025-09-30,13.2,8,mobile,social,0
425,539,2026-04-23,16.6,6,mobile,organic,0
426,1111,2025-08-09,25.2,5,mobile,organic,0
427,178,2025-12-26,26.7,4,tablet,email,0
428,2066,2025-02-04,3.3,8,mobile,social,0
429,3714,2024-10-07,13.2,8,mobile,direct,0
430,1961,2024-12-06,8.4,4,desktop,social,1
431,2614,2024-10-06,9.6,6,mobile,organic,0
432,3796,2026-05-25,3.5,7,desktop,direct,1
433,2526,2025-06-29,14.4,7,desktop,organic,0
434,1920,2026-02-24,24.7,2,tablet,paid,0
435,3930,2025-05-11,1.0,10,mobile,direct,0
436,208,2026-07-14,6.1,5,mobile,social,0
437,517,2026-06-23,34.5,8,desktop,direct,0
438,3047,2025-12-10,30.9,6,tablet,direct,0
439,665,2026-07-02,4.4,6,desktop,email,1
440,2365,2024-11-08,1.6,5,mobile,email,0
441,4091,2025-07-21,23.8,10,desktop,organic,0
442,2320,2024-12-21,31.1,7,desktop,social,0
443,3809,2024-08-24,12.5,8,tablet,direct,0
444,2229,2025-03-06,4.4,9,mobile,email,0
445,1215,2024-07-09,7.5,12,mobile,direct,0
446,257,2026-07-25,6.4,6,mobile,organic,0
447,898,2024-07-26,35.8,4,desktop,organic,0
448,1281,2026-05-14,30.2,7,mobile,email,0
449,2601,2024-06-27,6.2,2,mobile,email,0
450,2035,2024-10-30,6.2,6,mobile,direct,0
451,3854,2025-11-12,16.4,7,mobile,direct,1
452,3904,2024-11-01,27.9,5,desktop,email,0
453,3396,2026-04-14,19.9,8,mobile,organic,1
454,3807,2024-10-22,19.3,6,mobile,paid,1
455,1339,2026-02-15,2.5,6,mobile,social,0
456,739,2024-06-20,9.7,5,tablet,social,1
457,3128,2024-12-24,13.4,6,mobile,organic,0
458,4765,2025-09-09,20.8,6,mobile,email,0
459,4965,2024-09-17,21.3,10,mobile,direct,0
460,3507,2025-05-20,11.4,5,mobile,direct,0
461,2322,2025-11-24,10.3,9,desktop,organic,1
462,3235,2026-03-10,11.5,7,mobile,email,0
463,2564,2024-11-14,21.7,5,tablet,social,1
464,507,2026-02-13,15.6,5,mobile,organic,0
465,2616,2026-02-25,8.5,8,mobile,paid,0
466,4073,2025-04-27,2.2,2,desktop,organic,0
467,1511,2026-06-17,6.5,5,desktop,social,0
468,950,2025-02-06,9.1,5,desktop,social,0
469,2612,2025-03-10,1.4,7,desktop,social,0
470,3657,2024-10-25,11.7,5,mobile,social,0
471,5,2025-01-23,57.5,7,desktop,paid,0
472,2480,2025-10-25,17.1,10,tablet,social,0
473,2781,2025-08-20,13.5,8,mobile,social,0
474,2956,2025-05-30,7.9,7,mobile,direct,1
475,3746,2026-04-22,2.8,5,mobile,organic,0
476,4627,2024-12-11,2.6,2,desktop,social,0
477,1135,2025-08-01,4.4,7,desktop,social,0
478,4255,2025-02-23,11.3,6,tablet,organic,1
479,2365,2024-12-13,25.4,5,mobile,social,0
480,1206,2024-06-08,27.5,4,desktop,paid,0
481,545,2025-01-26,11.2,15,mobile,social,0
482,132,2025-07-15,1.7,4,mobile,organic,1
483,4394,2026-04-21,76.0,7,tablet,paid,1
484,4212,2024-06-01,14.0,9,mobile,organic,0
485,1422,2026-02-12,24.4,7,tablet,direct,0
486,4938,2026-04-22,1.7,6,desktop,paid,0
487,1123,2026-06-18,9.3,3,mobile,paid,0
488,4373,2025-01-26,6.0,1,mobile,organic,1
489,4134,2025-12-06,18.4,8,mobile,paid,0
490,2436,2025-10-13,4.7,2,desktop,email,0
491,1196,2026-07-11,20.2,5,mobile,organic,0
492,2474,2025-02-15,4.8,6,desktop,direct,0
493,4300,2025-08-15,7.4,2,mobile,direct,0
494,1249,2024-06-05,4.3,4,mobile,social,0
495,3998,2026-01-10,9.6,5,mobile,organic,0
496,2639,2025-07-27,31.9,7,desktop,paid,1
497,3973,2024-12-20,4.5,5,mobile,social,1
498,3002,2024-12-31,25.9,3,mobile,social,0
499,174,2025-01-27,4.4,6,desktop,social,0
500,2915,2024-07-13,1.5,5,mobile,paid,0
501,2008,2024-11-05,19.6,7,desktop,direct,0
502,3450,2025-07-06,8.4,4,desktop,email,0
503,966,2025-03-18,13.9,5,mobile,email,0
504,4300,2024-12-17,4.5,7,mobile,social,0
505,162,2026-03-29,4.1,3,mobile,social,0
506,165,2025-04-03,15.9,2,mobile,direct,0
507,4189,2024-10-05,14.4,4,desktop,organic,0
508,4330,2024-09-19,43.2,7,mobile,direct,0
509,950,2025-04-24,9.9,6,mobile,direct,0
510,2295,2026-06-09,18.8,7,mobile,direct,1
511,366,2026-08-01,7.5,3,tablet,email,1
512,8,2024-09-05,35.0,5,mobile,organic,0
513,1215,2025-05-23,2.3,9,mobile,direct,0
514,651,2026-02-10,1.9,8,desktop,organic,0
515,4875,2024-10-19,19.7,5,desktop,email,0
516,4329,2026-04-20,19.7,7,mobile,email,0
517,2329,2024-12-06,12.3,4,mobile,organic,1
518,4405,2025-03-05,49.4,4,desktop,organic,1
519,2202,2025-10-23,8.3,3,mobile,social,0
520,4881,2026-02-20,14.3,7,mobile,social,0
521,447,2026-01-17,9.6,6,mobile,social,0
522,89,2026-03-30,23.6,6,mobile,direct,0
523,3025,2026-02-16,6.9,4,desktop,organic,0
524,1019,2025-09-03,15.4,5,mobile,social,0
525,2344,2025-03-11,26.8,5,mobile,email,0
