"customer_id","country","age","device","premium_user","orders_count","total_revenue","avg_order_value","sessions_count","avg_session_duration","avg_pages_viewed","is_churned"
"2612","PL","61","desktop","0","3","127","42","19","12.14","5.74","1"
"2942","HU","49","mobile","0","3","127","42","25","13.76","5.6","1"
"315","UA","32","tablet","0","3","128","43","13","9.51","6.92","1"
"1212","UA","30","mobile","1","2","130","65","21","8.89","5.86","1"
"1505","SK","38","mobile","1","2","130","65","26","10.44","5.96","1"
"4879","UA","50","desktop","0","3","132","44","23","13.23","6.26","1"
"3374","SK","33","desktop","1","3","133","44","27","15.9","5.56","1"
"3266","UA","43","mobile","1","3","134","45","31","11.85","5.32","1"
"192","SK","29","mobile","0","3","135","45","28","13.8","6.0","1"
"843","SK","55","desktop","1","2","136","68","25","15.44","5.32","1"
"2522","HU","22","desktop","1","2","138","69","18","16.49","6.17","1"
"1937","UA","42","desktop","0","4","138","35","27","11.47","6.48","1"
"4685","UA","54","mobile","0","3","139","46","25","14.18","5.88","1"
"3091","PL","64","desktop","0","3","139","46","27","13.56","5.26","1"
"4500","HU","57","desktop","0","3","139","46","15","13.31","6.47","0"
"3863","CZ","32","mobile","0","3","139","46","26","13.34","5.81","1"
"3172","UA","39","mobile","0","4","140","35","22","16.0","6.77","1"
"935","UA","42","desktop","0","2","140","70","27","12.36","6.63","1"
"2711","PL","27","mobile","0","2","141","71","27","11.62","6.04","0"
"1425","UA","69","mobile","1","4","141","35","24","16.15","5.58","1"
"4789","UA","20","desktop","1","4","142","36","22","10.09","5.95","0"
"800","UA","27","mobile","1","3","143","48","22","12.88","5.09","1"
"1514","SK","64","desktop","1","4","144","36","23","13.0","5.74","1"
"2991","CZ","42","desktop","1","2","144","72","25","15.18","6.08","1"
"2258","UA","59","mobile","0","4","146","37","27","11.56","6.74","0"
"2657","PL","19","mobile","0","3","146","49","28","14.02","6.07","1"
"564","SK","50","tablet","0","4","147","37","25","12.94","5.92","0"
"3790","PL","57","mobile","0","4","149","37","21","11.5","5.52","1"
"2488","UA","60","mobile","1","4","151","38","18","13.15","5.78","1"
"597","UA","57","tablet","1","4","152","38","29","12.67","5.72","0"
"1335","UA","39","mobile","0","4","152","38","20","15.41","6.4","0"
"324","UA","53","desktop","0","6","152","25","25","10.28","5.6","1"
"4372","UA","43","desktop","1","3","152","51","22","8.99","5.95","1"
"321","UA","65","desktop","1","2","152","76","21","15.28","6.14","1"
"3945","UA","57","mobile","0","4","153","38","20","18.09","5.55","1"
"4941","HU","39","mobile","0","4","153","38","23","11.63","5.78","1"
"1521","CZ","34","desktop","0","4","155","39","30","11.19","5.8","1"
"2497","SK","68","desktop","1","4","156","39","19","14.46","5.32","1"
"2815","SK","55","mobile","0","3","158","53","30","13.98","5.83","1"
"3327","UA","32","desktop","0","3","159","53","31","12.72","5.0","1"
"1373","UA","31","tablet","0","4","159","40","22","8.87","5.27","1"
"2209","UA","42","mobile","0","3","159","53","22","11.6","5.73","1"
"1022","PL","37","desktop","0","3","160","53","26","13.56","6.69","1"
"2301","UA","45","desktop","0","4","160","40","29","17.18","6.9","1"
"3349","PL","36","tablet","1","4","160","40","20","13.35","6.0","0"
"926","HU","44","desktop","0","4","161","40","26","15.14","6.58","1"
"696","UA","20","mobile","1","3","161","54","17","10.34","5.59","1"
"2439","PL","21","mobile","0","3","161","54","35","12.37","6.26","1"
"4810","UA","63","mobile","0","5","162","32","24","13.92","5.71","0"
"1274","PL","26","desktop","0","7","162","23","20","12.89","5.25","1"
"1593","SK","21","tablet","1","4","163","41","37","10.99","6.27","1"
"2762","UA","54","desktop","1","5","163","33","23","13.38","6.87","1"
"4075","HU","36","mobile","0","3","164","55","31","15.29","6.1","0"
"1917","HU","28","mobile","1","4","166","42","30","16.16","5.93","0"
"4623","UA","65","desktop","0","4","167","42","19","14.72","7.53","0"
"373","PL","69","mobile","1","2","169","85","24","11.81","6.21","1"
"1427","CZ","32","mobile","0","5","170","34","29","14.62","6.24","1"
"2272","UA","69","mobile","0","2","171","86","23","16.89","5.83","1"
"2548","UA","41","desktop","0","3","171","57","14","14.03","6.36","1"
"278","CZ","66","tablet","0","6","171","29","23","15.17","5.48","0"
"3","PL","38","tablet","0","4","172","43","19","12.42","5.53","1"
"965","UA","47","mobile","0","5","172","34","21","11.72","5.38","1"
"3805","PL","58","mobile","0","3","173","58","23","16.53","5.43","1"
"4523","UA","40","desktop","1","3","174","58","16","15.28","5.56","1"
"2835","UA","30","mobile","0","3","174","58","28","13.58","5.93","1"
"1018","SK","48","mobile","0","4","175","44","21","13.86","5.86","1"
"2682","HU","36","tablet","0","5","175","35","17","16.65","5.88","0"
"3537","SK","27","mobile","0","5","177","35","26","15.71","5.73","1"
"3565","UA","61","tablet","0","3","177","59","25","9.1","5.96","0"
"3194","CZ","50","mobile","1","4","178","45","35","14.21","5.69","1"
"4550","UA","40","mobile","0","2","178","89","24","10.33","6.58","1"
"3838","PL","21","mobile","1","4","178","45","32","11.2","5.97","1"
"4552","UA","29","mobile","0","3","178","59","20","17.1","6.3","0"
"4673","HU","56","mobile","0","5","179","36","25","11.64","6.52","1"
"1160","SK","42","desktop","0","2","179","90","26","17.09","5.62","1"
"1643","UA","46","mobile","0","6","179","30","23","9.3","5.91","1"
"2160","UA","36","tablet","0","4","179","45","29","11.69","6.21","0"
"929","UA","28","desktop","0","3","179","60","27","12.53","5.52","1"
"157","CZ","53","desktop","0","4","179","45","24","13.53","6.21","0"
"1520","PL","55","mobile","0","3","179","60","30","10.34","5.4","1"
"1220","UA","63","tablet","0","3","180","60","23","12.49","6.3","0"
"4589","PL","34","desktop","0","4","180","45","28","11.09","4.93","1"
"3026","UA","49","mobile","0","2","180","90","23","12.1","6.39","1"
"2402","PL","68","mobile","0","2","180","90","29","15.21","6.55","1"
"2290","UA","25","mobile","0","4","181","45","24","16.65","5.21","1"
"2906","SK","65","desktop","0","3","181","60","29","12.65","6.28","0"
"1492","UA","48","mobile","1","5","181","36","13","19.92","6.92","1"
"1743","PL","23","desktop","0","3","181","60","28","15.27","6.5","1"
"2725","SK","43","desktop","0","5","182","36","25","13.42","6.2","0"
"2637","UA","66","tablet","1","3","183","61","25","10.4","5.68","1"
"3085","CZ","55","desktop","0","3","183","61","23","15.5","5.48","1"
"4764","UA","69","desktop","0","3","183","61","27","12.38","6.11","1"
"482","UA","22","desktop","0","5","184","37","33","14.28","5.73","0"
"2248","SK","42","mobile","1","2","184","92","23","11.72","5.61","1"
"430","HU","63","mobile","0","3","185","62","18","16.61","6.33","0"
"3800","SK","70","tablet","0","4","185","46","17","13.6","4.94","1"
"2689","SK","18","mobile","0","4","186","47","31","13.01","5.77","0"
"3436","UA","57","desktop","1","4","186","47","23","13.1","6.13","0"
"1680","SK","30","mobile","1","5","187","37","33","13.8","5.67","1"
"4129","CZ","48","mobile","0","4","187","47","22","16.57","5.55","1"
"3058","PL","35","desktop","0","3","187","62","24","11.33","5.96","1"
"1247","UA","47","desktop","0","4","188","47","19","16.19","5.53","1"
"3289","PL","21","mobile","0","4","189","47","21","7.29","5.95","1"
"3804","CZ","51","desktop","0","5","189","38","26","9.93","5.81","1"
"1608","UA","41","desktop","0","2","190","95","16","9.11","6.13","1"
"43","HU","66","mobile","1","5","190","38","21","13.45","5.57","1"
"274","HU","37","mobile","0","3","191","64","17","13.1","5.12","1"
"4530","UA","58","mobile","0","5","191","38","23","9.54","6.0","1"
"4547","HU","70","desktop","1","7","191","27","26","11.47","5.58","1"
"3210","PL","32","desktop","0","3","192","64","26","11.14","6.08","1"
"950","UA","64","mobile","1","3","192","64","38","12.39","6.79","1"
"2211","UA","21","tablet","1","4","192","48","24","15.33","6.25","1"
"964","UA","37","mobile","0","5","192","38","27","11.67","5.41","1"
"445","PL","26","desktop","1","5","193","39","23","15.16","6.96","1"
"355","UA","18","desktop","1","5","193","39","22","11.2","6.18","0"
"2288","HU","26","desktop","0","3","193","64","13","10.52","6.0","1"
"5","SK","21","desktop","0","6","193","32","32","10.26","6.19","1"
"1881","PL","33","mobile","1","3","194","65","20","13.16","5.7","1"
"4814","UA","27","mobile","0","5","194","39","25","15.57","5.92","1"
"2881","UA","20","mobile","1","4","195","49","32","12.93","5.94","1"
"2019","UA","20","mobile","0","2","196","98","29","11.96","6.14","1"
"115","PL","55","mobile","0","3","197","66","31","11.25","6.1","0"
"3514","CZ","59","tablet","0","4","197","49","27","8.51","5.7","1"
"2948","SK","51","mobile","0","3","197","66","22","16.6","6.14","1"
"3105","PL","51","desktop","1","3","199","66","21","10.07","5.33","1"
"4963","PL","69","desktop","0","3","199","66","21","12.96","6.43","1"
"2764","UA","26","mobile","0","4","199","50","27","10.39","6.26","1"
"2983","SK","21","mobile","0","2","199","100","16","16.73","6.5","1"
"991","SK","47","mobile","0","4","199","50","16","15.74","6.38","1"
"3520","UA","36","desktop","0","5","200","40","20","13.01","6.95","1"
"565","UA","47","mobile","0","4","200","50","17","13.95","5.59","1"
"2886","UA","18","mobile","0","3","200","67","19","10.06","5.42","1"
"2788","SK","42","mobile","1","3","201","67","27","17.69","5.7","1"
"1803","SK","69","tablet","0","5","202","40","23","12.73","5.39","1"
"2635","PL","62","mobile","0","3","202","67","27","12.24","5.96","0"
"1737","UA","68","mobile","1","3","202","67","28","12.41","6.36","1"
"4007","SK","70","mobile","0","5","202","40","25","14.42","6.32","1"
"4403","UA","52","mobile","0","3","202","67","21","11.97","6.57","1"
"1867","UA","38","mobile","0","3","202","67","21","10.33","6.81","1"
"4309","UA","42","mobile","0","3","203","68","25","11.8","5.52","1"
"4233","UA","66","mobile","0","3","204","68","36","12.74","6.97","0"
"697","CZ","36","mobile","0","5","204","41","23","13.84","5.39","1"
"487","SK","67","mobile","0","4","204","51","23","14.32","5.39","1"
"4158","CZ","24","desktop","0","3","205","68","19","10.76","5.68","1"
"2034","UA","29","desktop","0","3","205","68","29","11.82","6.55","1"
"673","PL","19","desktop","0","4","205","51","22","14.23","5.86","1"
"834","PL","24","desktop","0","7","205","29","27","15.92","6.3","0"
"2759","UA","53","mobile","0","4","205","51","26","9.73","7.04","1"
"2149","UA","59","mobile","0","2","205","103","31","16.74","5.61","1"
"2115","UA","68","desktop","0","4","205","51","16","15.43","6.25","1"
"1474","PL","68","mobile","0","4","206","52","24","13.31","5.29","1"
"3856","UA","51","mobile","1","4","207","52","24","9.27","5.88","1"
"3709","UA","32","mobile","0","3","207","69","26","14.39","6.27","1"
"3562","SK","43","desktop","0","5","207","41","19","9.48","5.58","1"
"4811","SK","22","desktop","0","5","208","42","34","13.11","5.5","1"
"1901","UA","28","desktop","0","3","208","69","30","10.55","5.73","1"
"1268","CZ","18","tablet","1","3","208","69","25","11.32","6.2","0"
"968","PL","45","desktop","0","4","208","52","26","10.25","6.31","1"
"2361","UA","60","desktop","0","5","210","42","20","10.04","5.75","1"
"832","HU","57","desktop","0","3","210","70","24","14.99","5.42","1"
"4002","HU","38","tablet","0","3","211","70","25","14.31","5.24","1"
"833","PL","46","mobile","1","3","211","70","21","13.34","6.57","1"
"2731","SK","69","mobile","0","2","212","106","16","11.68","5.19","1"
"4616","PL","20","desktop","0","3","212","71","33","12.75","6.42","1"
"1301","UA","40","mobile","0","5","212","42","24","10.18","5.21","1"
"2995","PL","33","desktop","1","6","213","36","19","10.52","6.05","1"
"2894","UA","28","mobile","0","3","213","71","16","10.78","6.75","1"
"1470","UA","65","desktop","0","4","213","53","21","15.05","5.57","1"
"2658","UA","57","tablet","0","4","214","54","15","15.59","6.0","1"
"2119","UA","22","tablet","0","3","214","71","27","17.42","6.48","1"
"1166","CZ","70","desktop","0","3","215","72","26","19.12","6.27","0"
"3291","UA","34","tablet","1","4","215","54","24","10.9","5.92","0"
"1724","UA","38","desktop","1","3","215","72","20","12.39","6.4","0"
"4636","UA","30","tablet","0","4","215","54","17","15.71","5.65","1"
"4948","UA","39","desktop","0","5","216","43","25","13.66","5.28","1"
"306","UA","52","mobile","0","4","216","54","25","12.45","6.24","1"
"3887","UA","32","mobile","0","3","216","72","27","12.87","6.19","1"
"4016","HU","24","desktop","0","5","217","43","29","11.78","6.48","1"
"34","CZ","53","mobile","1","6","217","36","26","15.05","6.31","0"
"548","CZ","63","mobile","1","3","218","73","33","11.63","5.82","1"
"3096","UA","47","mobile","0","4","219","55","22","13.59","6.68","1"
"1385","CZ","36","mobile","0","4","219","55","35","13.26","6.11","1"
"3485","SK","38","mobile","1","4","219","55","26","8.67","6.96","1"
"275","PL","58","mobile","0","4","219","55","18","12.68","5.06","1"
"3841","UA","21","mobile","1","3","220","73","21","11.41","5.57","1"
"3648","HU","36","mobile","1","4","220","55","26","10.96","5.35","1"
"1377","UA","20","desktop","1","4","221","55","24","13.19","5.63","1"
"1646","PL","49","desktop","1","5","222","44","22","12.97","6.23","1"
"863","UA","69","mobile","0","6","222","37","27","14.48","5.0","0"
"4111","UA","25","mobile","0","5","223","45","28","11.61","6.11","1"
"3747","PL","45","mobile","0","3","223","74","19","10.33","5.89","1"
"2452","SK","30","mobile","0","4","224","56","25","13.96","6.0","0"
"281","UA","20","mobile","1","4","224","56","26","11.97","5.73","1"
"3712","PL","38","desktop","0","6","224","37","27","10.9","5.74","1"
"3698","HU","58","mobile","1","6","225","38","21","14.92","6.24","0"
"3813","CZ","45","desktop","0","5","226","45","17","14.81","5.35","1"
"193","SK","33","desktop","0","3","226","75","20","14.82","6.85","1"
"1207","CZ","34","desktop","0","6","226","38","17","9.82","5.41","1"
"4950","PL","40","mobile","0","4","227","57","20","8.3","6.25","1"
"4082","UA","62","mobile","0","3","227","76","25","11.09","6.16","1"
"3526","UA","23","desktop","1","5","227","45","28","13.43","5.79","0"
"3130","SK","54","desktop","0","4","227","57","26","12.35","6.15","0"
"3376","SK","25","desktop","1","5","227","45","30","15.51","6.73","1"
"3459","PL","36","desktop","1","3","228","76","22","13.2","6.41","1"
"1396","UA","58","desktop","0","4","228","57","27","11.42","5.41","1"
"799","UA","39","mobile","0","5","228","46","24","12.75","5.46","1"
"40","PL","21","mobile","0","4","229","57","28","11.81","5.46","1"
"141","UA","23","tablet","0","4","229","57","22","13.15","5.82","0"
"853","UA","20","mobile","0","5","229","46","17","11.15","6.35","1"
"1200","PL","62","mobile","0","3","229","76","27","12.13","6.7","1"
"272","UA","35","tablet","0","5","229","46","28","15.94","6.46","0"
"1127","UA","38","mobile","0","5","230","46","32","11.76","6.31","1"
"3400","HU","28","desktop","0","5","230","46","28","14.36","5.89","0"
"1283","SK","44","mobile","0","4","231","58","19","12.09","6.74","1"
"4252","SK","22","mobile","0","5","232","46","31","15.5","5.68","1"
"1230","SK","42","tablet","0","6","232","39","25","11.15","6.24","1"
"1036","SK","24","desktop","0","4","232","58","19","12.16","6.26","1"
"502","UA","40","tablet","0","4","232","58","25","12.84","6.4","0"
"4976","HU","66","mobile","0","4","233","58","23","12.51","6.43","0"
"1669","UA","22","mobile","0","2","233","117","26","9.04","7.12","1"
"4431","SK","23","desktop","1","5","233","47","29","14.94","5.66","1"
"3536","UA","53","tablet","0","4","233","58","26","11.03","5.54","1"
"4001","SK","51","mobile","0","5","233","47","27","14.49","6.26","1"
"1405","HU","37","mobile","0","3","233","78","31","11.88","5.48","1"
"2437","PL","37","desktop","0","5","234","47","30","15.28","5.37","1"
"4816","UA","42","mobile","0","6","234","39","31","14.32","6.16","0"
"3827","CZ","44","mobile","0","4","234","59","31","13.2","5.81","0"
"3293","PL","67","desktop","0","3","234","78","36","10.22","6.36","1"
"586","UA","45","desktop","0","6","234","39","24","10.52","6.21","0"
"4166","UA","55","desktop","1","5","235","47","33","16.47","6.3","0"
"777","UA","43","mobile","0","4","235","59","24","11.05","5.71","1"
"4163","HU","51","mobile","0","6","236","39","19","14.08","5.68","1"
"2739","UA","46","tablet","1","4","237","59","25","11.78","6.08","1"
"1000","PL","62","desktop","0","4","237","59","20","13.0","6.3","1"
"3716","HU","28","desktop","1","3","237","79","17","12.45","6.88","1"
"4981","UA","26","mobile","0","6","238","40","26","8.75","5.77","1"
"2466","UA","27","mobile","0","4","238","60","24","12.05","5.79","1"
"3636","SK","53","mobile","1","6","238","40","21","12.6","5.48","1"
"4479","PL","25","mobile","0","4","238","60","29","16.91","5.9","1"
"1102","PL","70","mobile","1","4","239","60","25","10.64","5.32","1"
"1695","UA","64","mobile","1","3","239","80","24","15.02","6.21","1"
"2873","SK","24","mobile","1","6","239","40","28","11.88","5.64","1"
"2481","SK","58","desktop","1","3","239","80","33","13.75","5.52","1"
"3454","SK","68","tablet","1","3","239","80","25","8.16","6.6","1"
"2981","SK","33","mobile","1","4","240","60","26","10.46","6.19","1"
"1074","UA","48","mobile","0","5","240","48","24","9.67","6.42","0"
"4686","HU","19","mobile","0","4","240","60","21","14.87","5.67","1"
"1812","HU","33","mobile","0","5","241","48","33","18.07","5.33","1"
"4808","UA","35","mobile","0","3","241","80","25","15.21","6.56","1"
"4241","PL","69","desktop","1","6","243","41","29","11.53","6.24","0"
"1682","PL","20","desktop","0","3","244","81","19","13.42","6.26","0"
"1825","HU","39","desktop","0","3","244","81","23","12.17","6.0","1"
"3074","PL","31","mobile","1","4","245","61","28","15.31","5.39","1"
"1844","CZ","35","mobile","1","4","245","61","24","8.94","6.13","1"
"1119","SK","30","desktop","0","3","245","82","22","9.86","6.09","1"
"4449","SK","18","desktop","1","4","245","61","22","12.1","6.5","0"
"1279","HU","62","mobile","0","4","245","61","23","15.76","5.74","1"
"3264","SK","40","desktop","0","6","245","41","20","12.98","5.15","1"
"4125","UA","19","mobile","1","5","245","49","24","10.5","6.33","1"
"528","HU","56","mobile","0","5","246","49","26","12.86","5.96","0"
"1390","CZ","44","desktop","0","5","246","49","32","11.33","5.88","0"
"4557","PL","41","tablet","1","4","246","62","37","12.45","6.32","1"
"2252","UA","64","tablet","1","6","246","41","30","11.06","6.03","0"
"4796","PL","61","desktop","0","5","246","49","25","11.1","6.28","1"
"3891","PL","54","desktop","1","4","247","62","23","11.12","5.87","1"
"3408","UA","61","desktop","0","5","247","49","24","12.05","5.83","1"
"1087","SK","55","tablet","1","4","248","62","17","14.24","6.0","0"
"4899","UA","22","desktop","0","3","248","83","19","12.14","6.63","1"
"3409","CZ","50","mobile","0","4","249","62","28","11.37","5.43","1"
"3538","UA","38","desktop","0","4","249","62","15","11.87","6.6","1"
"4860","UA","42","mobile","0","3","249","83","27","9.77","5.19","1"
"2878","CZ","25","mobile","0","4","249","62","19","12.03","5.74","1"
"255","UA","37","mobile","0","6","249","42","23","16.97","5.61","0"
"3557","PL","41","mobile","0","5","249","50","28","14.04","6.11","1"
"146","UA","34","desktop","0","5","249","50","24","11.2","5.67","1"
"2108","UA","19","mobile","0","4","249","62","25","14.66","6.88","1"
"4298","UA","62","mobile","0","4","249","62","18","12.73","6.39","0"
"4426","SK","29","desktop","0","6","250","42","13","12.76","6.15","0"
"854","SK","62","desktop","0","6","250","42","30","12.14","6.3","1"
"1035","HU","67","mobile","0","4","251","63","27","10.23","6.04","1"
"2360","SK","50","desktop","0","4","251","63","17","16.33","6.18","0"
"3503","UA","34","mobile","0","3","251","84","35","11.47","6.09","1"
"4169","CZ","51","tablet","1","2","252","126","18","13.56","7.17","0"
"1146","SK","30","mobile","0","6","253","42","31","11.12","6.26","0"
"1356","HU","57","mobile","0","5","253","51","24","12.05","6.38","1"
"1436","PL","23","mobile","0","4","253","63","21","14.45","5.86","0"
"4367","UA","45","mobile","0","5","253","51","29","13.39","5.14","1"
"583","SK","64","mobile","0","3","254","85","24","9.5","5.5","1"
"4040","SK","42","desktop","1","5","254","51","16","13.23","5.38","1"
"25","SK","32","mobile","0","5","255","51","21","12.06","6.14","0"
"582","UA","56","mobile","0","4","255","64","22","12.15","6.18","1"
"1783","UA","33","tablet","0","6","255","43","21","15.61","5.71","1"
"728","PL","34","mobile","0","3","256","85","38","14.08","6.37","1"
"3188","UA","30","mobile","0","4","256","64","27","12.23","6.44","0"
"3435","SK","29","desktop","0","3","256","85","22","13.64","5.77","0"
"2789","CZ","30","mobile","0","4","256","64","32","16.88","5.31","1"
"1431","UA","63","mobile","0","4","256","64","22","13.23","5.73","0"
"1943","SK","30","mobile","0","5","257","51","35","11.71","5.8","0"
"3586","UA","69","tablet","0","6","257","43","26","9.65","5.42","1"
"3616","PL","54","desktop","0","5","257","51","15","11.66","6.07","1"
"4058","UA","34","desktop","0","5","257","51","16","15.31","6.81","1"
"2593","PL","40","desktop","1","4","257","64","28","15.86","5.64","1"
"2913","UA","31","desktop","0","4","257","64","31","12.95","6.0","1"
"982","CZ","61","desktop","0","4","258","65","23","18.34","5.61","1"
"478","CZ","55","mobile","0","5","258","52","31","14.74","6.03","1"
"3742","PL","29","mobile","0","5","258","52","19","12.5","6.11","0"
"2722","UA","26","desktop","0","4","259","65","18","12.71","5.28","1"
"1829","UA","53","desktop","1","5","259","52","29","11.07","6.24","1"
"554","UA","34","desktop","1","5","259","52","26","17.2","5.65","0"
"1658","PL","20","mobile","1","4","260","65","22","16.1","6.09","1"
"2292","UA","36","mobile","0","5","260","52","25","11.28","5.44","1"
"2003","PL","23","mobile","0","5","260","52","26","12.34","6.62","1"
"4561","CZ","18","desktop","0","3","260","87","24","13.57","6.88","0"
"348","PL","62","mobile","0","5","261","52","36","11.36","5.81","1"
"1032","SK","63","desktop","0","5","262","52","27","15.45","6.19","1"
"880","UA","53","desktop","1","3","262","87","17","10.55","6.18","1"
"3581","UA","56","mobile","0","5","262","52","30","12.78","5.5","1"
"4450","CZ","33","tablet","0","6","264","44","23","9.82","5.57","1"
"2592","UA","23","desktop","1","7","264","38","33","14.34","5.61","0"
"4312","CZ","46","desktop","0","5","264","53","32","12.23","5.88","0"
"372","UA","52","desktop","0","3","264","88","30","11.33","5.7","1"
"1037","UA","61","mobile","0","4","264","66","23","13.8","5.7","1"
"1584","UA","49","desktop","0","5","264","53","16","12.64","6.06","1"
"3195","PL","32","mobile","0","4","264","66","27","14.5","5.59","1"
"4998","UA","19","mobile","1","3","266","89","21","6.5","5.86","1"
"323","UA","58","tablet","0","6","266","44","28","12.75","5.36","1"
"2633","UA","57","desktop","1","5","266","53","26","12.02","6.69","1"
"4413","HU","68","tablet","0","5","266","53","20","15.7","5.9","1"
"4692","UA","52","desktop","1","5","266","53","19","12.23","6.11","1"
"2383","HU","21","mobile","1","6","266","44","20","11.82","6.05","0"
"2532","CZ","64","mobile","0","5","267","53","33","10.88","6.06","1"
"1305","CZ","55","desktop","0","5","267","53","26","11.6","6.31","1"
"3377","UA","46","desktop","0","5","267","53","18","11.22","6.83","1"
"2827","UA","35","mobile","1","5","267","53","24","14.45","6.46","1"
"4442","UA","55","desktop","0","5","267","53","25","9.81","6.68","1"
"1276","SK","32","desktop","1","6","268","45","21","10.72","6.05","1"
"3727","HU","44","mobile","0","5","268","54","17","16.99","5.53","1"
"2880","UA","52","mobile","0","4","268","67","33","16.58","5.76","0"
"3041","UA","35","desktop","0","3","269","90","31","16.27","5.81","0"
"4412","SK","20","mobile","1","4","269","67","27","15.03","5.44","1"
"4261","CZ","30","mobile","0","6","269","45","28","14.5","6.0","1"
"1861","CZ","21","desktop","1","3","270","90","11","23.67","5.55","1"
"1873","UA","19","mobile","0","3","270","90","19","12.19","5.79","1"
"1392","UA","66","desktop","1","5","271","54","23","8.95","5.74","1"
"3672","PL","45","mobile","0","6","271","45","22","11.6","5.68","1"
"724","PL","62","mobile","0","5","271","54","26","14.03","5.12","1"
"1793","HU","53","mobile","0","3","272","91","20","16.02","6.05","1"
"2753","CZ","70","mobile","1","5","272","54","28","10.54","6.39","0"
"4335","HU","35","mobile","0","6","272","45","24","8.55","5.5","1"
"3140","PL","43","desktop","0","4","272","68","15","11.58","5.87","1"
"3478","UA","20","mobile","0","4","272","68","27","15.01","6.19","1"
"1586","CZ","30","desktop","0","6","273","46","17","8.11","5.35","1"
